message,answer
"в машине висели , на зеркале .","он сам надел , или ты заставила ?"
"хорошо , я не собираюсь участвовать в шоу музыкальная деревушка .","хорошо , я не собираюсь участвовать в шоу музыкальная деревушка ."
вы даже не спросили .,я отвечаю перед акционерами .
ну перестань мы можем увезти тебя отсюда .,стойте ?
"я знала , что будет нелегко .",мы сможем пройти через это .
я могу заказать кт головы или вызвать нейро .,"например , неподходящие лекарства ."
плевать сколько это стоит .,правда ? тебе плевать ?
что вы сказали ?,дайте ему подумать .
я действительно не могу сказать .,ну вот и говорите .
почему мой член не похож на твой ?,"думаю , у него твои глаза ."
да .,тогда приготовьтесь .
"моя мама в соседнем доме и убирается дома . . . и присматривает за робби , а я прямо через забор от нее прогуливаю школу и ем мороженое .","я лишь немного ем , когда я у мамы ."
"эйб , хочешь выпить с нами ?",я бы с удовольствием .
нет .,а когда скажешь ?
миллер !,"миллер , это шериф ."
хочу .,я готова .
"я думал , что мог бы водить зика в парк "" золотые ворота "" и учить его бейсболу .",это неплохая идея !
разве ты поступаешь не также ?,"нет , я так не делаю ."
что ?,"что такое "" что "" ?"
да - да .,до встречи .
спенсер .,"когда я была в рэдли ,"
замечательно . да .,спасибо .
"я могу дать вам , скажем , 3000 долларов .","вам столько не понадобится , так что сдачу вернёшь ."
база наша .,"ты нам нужен , чтобы закончить корабль ."
не строй из себя дурачка .,посмотрим фактам в лицо .
"о , и в холодильнике стоит свежая бутылка для нее , когда она проснется .","нет , это неправильно ! добавь сливок , перед тем как подашь её ."
ты в порядке ?,"нет , я не в порядке ."
игнорируй и всё .,это бессмысленно .
вперед .,я рядом с тобой .
зачем ты делаешь это ?,грим накладываю .
"как обычно , адам ?","да , он был моим мужем ."
"нет , дома его тоже нет !",а я понял .
"черный и одну ложку сахара , пожалуйста .","нет , белый сахар ."
ни за кого .,за ясона .
"что с тобой случилось , гонсало ?","все в порядке , просто последние два дня я какой - то чудной ."
вы пытались . . .,"все время , что вы провели здесь , я был по другую сторону ."
со мной покончено банк .,"ах , банк ? ограбление ?"
там остался мой пёс !,а где его хозяин ?
"и ана будет жить у нас до рождения ребенка , поэтому вам не придется беспокоиться о ней .",и мы поженимся .
